Company Name,Year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Status
C_24,2013,0.18,0.27,10.95,4.35,0.12,-4.58,-0.28,-0.24,-0.25,-0.12,-0.11,0
C_25,2013,1.93,0.78,2.05,2.64,1.75,10.77,0.8,-0.07,0.46,0.07,0.66,1
C_26,2013,1.69,0.3,2.76,3.7,1.14,1.77,0.36,-0.05,0.31,0.03,0.18,1
C_27,2013,8.49,0.65,1.35,2.97,4.26,97.68,0.48,-0.05,1.63,0.01,0.77,1
C_28,2013,0.86,1.29,68.46,15.72,0.83,50.99,0.53,-0.1,1.95,-0.05,0.72,0
C_29,2013,0.87,0.86,0,0,0.45,-8.12,0.15,0.67,0.13,0.18,-0.45,0
C_30,2013,4.25,0.2,2.94,4.11,2.2,-25.05,0.16,-0.12,-0.82,0.26,0.95,1
C_31,2013,0.6,0.92,5.03,3.04,0.5,-2.82,0.64,0.11,0.23,0.19,0.16,0
C_32,2013,2.15,2.91,12.66,9.52,1.55,16.67,0.06,0.05,-0.01,-0.04,0.32,1
C_33,2013,0.66,0.38,3.44,5.26,0.51,2.92,0.76,-0.02,0.4,-0.03,0.15,0
C_34,2013,0.4,0.3,4.67,1.45,0.32,-3.16,0,0.01,-0.11,0.44,-0.27,0
C_35,2013,0.34,1.96,9.87,202.08,0.16,-9.76,0.14,0.1,-0.3,0.12,-0.48,0
C_36,2013,1.96,1.74,0,0,1.15,4.31,0.14,-0.07,0.21,0.12,0.37,1
C_37,2013,3.91,0.38,3.19,4.23,2.31,-16.61,0.1,0.05,0.48,0.1,0.58,1
C_38,2013,2,0.68,151.9,1.66,2,6.67,0.31,0.13,0.12,0.49,-0.15,1
C_1,2014,1.09,1.07,9.87,6.72,0.93,0,0.47,-0.33,0.49,-0.24,0.26,1
C_2,2014,0.47,0.41,3.05,4.19,0.24,4.46,0.27,-0.2,0.04,0.03,0.2,0
C_3,2014,1.3,0.77,4.76,13.69,0.56,6.28,0.18,-0.06,0.3,-0.03,0.38,1
C_4,2014,1.88,0.44,3.2,2.99,1.62,-13.55,0.5,0.04,0.12,0,0.6,1
C_5,2014,1.59,1.15,1.93,7.58,0.52,17.73,0.45,-0.03,0.92,-0.1,0.36,1
C_6,2014,0.99,1.04,2.85,6.1,0.39,0.94,0.16,-0.09,0.04,-0.04,0.27,0
C_7,2014,5.69,0.18,5.88,3.43,5.45,0,0.63,-0.04,2.54,0.19,0.81,1
C_8,2014,1.01,1.47,2.63,4.34,0.46,2.44,0.36,0.07,0.01,-0.12,0.11,1
C_9,2014,6.98,0.19,0,0,2,4.51,0.24,-0.04,1.43,-0.53,0.18,1
C_10,2014,0.26,0.24,3.15,2.08,0.17,-0.54,0.12,0.07,0.04,0.44,-0.13,0
C_11,2014,0.88,1.04,5.83,9.63,0.66,6.75,0.46,-0.18,0.67,-0.11,0.12,0
C_12,2014,0.26,0.08,3.41,1.83,0.18,-5.8,-0.42,0.03,-0.12,0.82,0.51,0
C_13,2014,2.53,0.37,1.62,1.65,1.83,-375.12,0.13,0.35,-1.39,0.35,0.27,1
C_14,2014,0.85,0.15,1.6,0.9,0.5,-4.03,0.23,0.16,-0.1,0.97,-0.65,0
C_15,2014,0.69,0.02,0.02,1.46,0.01,-1.44,0.25,-0.01,0.01,1.41,-0.3,0
C_16,2014,5.94,0.54,4.98,8.59,5.02,205.84,0.45,-0.03,0.93,-0.1,0.8,1
C_17,2014,4.51,0.63,7.62,2.95,3.5,-2301.75,-0.01,0.22,2.57,0.01,0.47,1
